Evento	Frecuencia
remove	171
preparing	171
introduce	171
object	171
disturb	171
apply	171
examined	170
comfort	170
lingered	170
reply	169
confessed	169
expecting	168
account	168
exist	168
lit	168
repeats	168
puts	167
hit	167
deserted	167
begins	167
pretend	167
announcement	167
welcome	166
breathed	166
convey	166
pronounced	166
communicated	166
changing	166
accomplished	165
sang	165
leaned	165
regret	164
recall	164
occupy	164
command	164
encouraged	163
hang	163
catching	163
arrested	163
encountered	163
owned	163
conceived	163
vexed	162
exchanged	162
contrived	162
smile	162
displayed	162
destroyed	162
Thank	162
alluded	162
hesitate	161
believing	161
order	161
dress	161
ascertain	161
fastened	160
cease	160
plunged	160
claim	159
means	159
dwell	159
shining	159
communicate	159
induce	159
sinking	158
granted	158
furnished	158
interposed	157
consent	157
convince	157
stated	157
wasted	157
betray	157
decide	157
prayed	156
wishes	156
deserved	156
knelt	156
extended	156
adopted	156
Go	155
depend	155
doubted	154
count	154
reduced	154
purchase	154
faded	153
gather	153
supplied	153
helping	153
dismissed	153
acknowledge	153
complain	153
painted	153
cares	152
struggled	151
folded	151
retained	151
stopping	151
wandering	151
clear	151
address	151
remind	151
composed	151
arrive	151
endeavoured	150
blushed	150
shows	150
entertain	150
visiting	150
breathe	150
happens	150
consult	150
hoping	149
bade	149
be	149
fitted	149
last	149
matter	149
stick	149
repaired	149
distinguished	148
intend	148
burning	148
encourage	148
prepare	148
pull	147
pick	147
singing	147
arrange	147
force	147
dance	147
perform	147
hinder	146
examine	146
mounted	146
recognise	146
completed	146
deemed	145
crowded	145
marrying	145
ring	145
consented	145
relieve	145
resting	145
discussed	144
destroy	144
signed	144
counted	144
discuss	144
declined	143
appearing	143
riding	143
loves	143
shed	142
undertake	142
endured	142
bed	142
dashed	142
amuse	142
appointed	142
remembering	142
charmed	142
stuck	142
owed	142
jumped	141
ate	141
lasted	140
sobbed	140
suited	140
supply	140
advise	140
adding	140
maintain	140
shared	139
recommend	139
fought	139
threatened	139
divided	139
retain	139
continues	139
good	138
bestowed	138
warned	138
perceiving	138
abandoned	138
increase	138
wound	138
awaited	138
greeted	138
dined	138
anticipated	137
likes	137
Think	137
lend	137
alter	137
submit	137
reflect	136
demand	135
haunted	135
yield	135
retorted	135
persisted	135
pity	135
utter	135
happy	135
disliked	134
created	134
declaring	134
afforded	134
won’t	134
issued	133
weeping	133
visits	133
lifting	133
wearing	133
approach	133
denied	133
returns	133
referred	133
eating	132
tempted	132
learning	132
behave	132
rejoiced	132
pushing	131
passes	131
acquired	131
neglected	131
questioned	131
collected	131
danced	131
respecting	131
casting	130
keeps	130
didn’t	130
kissing	129
living	129
maintained	129
gratified	129
released	129
assembled	129
pursuing	128
behold	128
bursting	128
softened	128
forgetting	128
increasing	128
perplexed	128
travelled	128
pardon	128
troubled	127
appreciate	127
indulged	127
mingled	127
stir	127
owing	127
advised	127
despise	127
changes	127
overheard	127
waste	127
procure	127
walks	127
burnt	127
indicated	127
requested	126
capable	126
pulling	126
brightened	126
cutting	126
welcomed	126
sacrifice	126
swore	125
touching	125
question	125
retire	125
judged	125
torn	125
coloured	125
suggest	125
falls	125
grasped	124
recognized	124
afraid	124
purchased	124
commanded	123
offering	123
better	123
violence	123
implored	123
assume	123
attending	122
insist	122
minded	122
quarrel	122
steal	122
crisis	122
exhibited	122
dream	121
responded	121
awakened	121
restore	121
adopt	121
crushed	121
injured	121
mistake	121
comforted	121
acknowledged	121
wounded	121
excite	121
prevailed	121
involved	121
conquer	121
effected	121
forgiven	120
murder	120
blushing	120
flying	120
expressing	120
bored	120
oblige	119
witnessed	119
stooped	119
realized	119
occupation	118
recommended	118
earn	118
occasioned	118
confined	118
ruin	118
forbid	118
defend	118
justified	118
shrink	118
darted	118
paint	118
warn	117
improved	117
rushing	117
tore	117
travel	117
dropping	117
contemplated	117
charged	117
preserved	117
belonging	116
existed	116
screamed	116
staying	116
talks	116
light	116
lift	116
rejoice	116
placing	116
waved	116
developed	116
robbed	116
provide	116
Take	115
snatched	115
weep	115
arranging	115
educated	115
supposing	114
action	114
surveyed	114
appealed	114
exposed	113
recollected	113
console	113
flattered	113
crossing	113
surrounded	113
respect	112
bred	112
allowing	112
amazed	112
flowed	112
step	112
tossed	112
filling	112
closing	111
hurrying	111
indulge	111
dreaming	111
separate	111
blew	111
conquered	111
shuddered	111
fighting	111
travelling	111
dancing	111
grant	111
decline	111
cheered	111
repeating	110
prompted	110
leaped	110
washed	110
abandon	110
lowered	110
fair	110
resume	109
sobbing	109
recovering	109
complete	109
eaten	109
part	109
commit	109
failing	109
assented	109
dreamed	109
lent	109
exclaiming	108
deliver	108
fulfilled	108
contented	108
punish	108
deceive	108
approve	108
devote	108
detected	107
overwhelmed	107
related	107
studied	107
using	107
Give	107
swallowed	107
reveal	107
cheer	107
sprung	107
contemplate	107
withdrawn	107
soothe	107
withdraw	106
shrunk	106
drinking	106
terrified	106
encounter	106
fix	106
check	106
accused	106
regretted	106
dislike	106
fixing	106
holds	106
displeased	106
oppressed	106
reaching	105
distinguish	105
rouse	105
ensued	105
beaten	105
headed	105
answering	105
announce	105
retreated	105
pleaded	105
drowned	105
proceeding	105
cover	105
emerged	105
invite	105
drag	105
press	105
revived	104
repent	104
despised	104
confused	104
achieved	104
fed	104
strikes	104
implore	104
shooting	104
justify	104
hears	104
reproach	104
realised	104
frighten	103
striking	103
sleeping	103
hanged	103
realize	103
hinted	103
searching	102
embrace	102
attempts	102
grieve	102
experience	102
requires	102
soothed	102
protect	102
opposed	102
employ	102
leads	102
detained	102
gasped	101
woke	101
rolling	101
respected	101
hurry	101
tear	101
strolled	101
remains	101
charge	101
presume	100
clasping	100
gathering	100
represent	100
pouring	100
choked	100
consulted	100
traced	100
united	100
reserved	99
aid	99
mixed	99
stamped	99
honoured	99
beating	99
blown	99
noted	99
packed	99
blessed	99
conduct	99
knocking	98
argue	98
uttering	98
forming	98
affect	98
groaned	98
detain	98
aroused	98
spoil	98
something	98
shutting	97
point	97
rises	97
creeping	97
hopes	97
sustained	97
stealing	96
strove	96
subdued	96
urge	96
depended	96
create	96
burned	96
founded	96
resigned	96
refer	96
build	95
bestow	95
condemned	95
ascertained	95
allude	95
attempting	94
anxious	94
actions	94
entreated	94
examining	94
pitied	94
sealed	94
discussion	94
pretended	94
study	94
ascended	94
smoked	94
implied	94
stops	94
assisted	94
discussing	93
planted	93
hasten	93
causing	93
eyed	93
back	93
fulfil	93
tended	93
sink	93
gratify	93
stretching	92
deprived	92
reckon	92
irritated	92
consoled	92
Look	92
harm	92
shoot	92
weighed	92
ringing	92
waving	92
selected	92
guided	91
despatched	91
lodged	91
name	91
begging	91
proclaimed	91
climbed	90
wearied	90
rubbed	90
wake	90
improve	90
protested	90
rubbing	90
dealt	90
accomplish	90
smoke	90
breaks	90
silence	89
earned	89
preserve	89
control	89
wiped	89
gaze	89
glided	89
upset	89
confided	89
trace	89
blowing	88
nodding	88
joining	88
clinging	88
knock	88
mark	88
interrupt	88
sacrificed	88
springing	88
growth	88
release	88
claimed	88
floated	88
rely	88
match	88
advance	88
grows	87
dreamt	87
wash	87
chanced	87
endeavouring	87
spoilt	87
engage	87
refusing	87
suspended	87
sends	87
obtaining	87
shakes	87
banished	86
animated	86
wrung	86
asserted	86
sits	86
guide	86
collect	86
facing	86
renewed	86
writes	86
state	86
whispering	86
doomed	85
pausing	85
dispose	85
exercise	85
endeavour	85
embraced	85
fired	85
dread	84
descend	84
sailed	84
destined	84
rescue	83
honour	83
cherished	83
delayed	83
divined	83
resisted	83
approved	83
risk	83
pour	83
vowed	83
stolen	83
consisted	83
interest	82
borrowed	82
attract	82
quivered	82
hesitating	82
spending	82
sign	82
faltered	82
descending	81
searched	81
burn	81
injure	81
arrest	81
thrilled	81
scattered	81
procured	81
push	80
dispute	80
roared	80
offend	80
bury	80
accuse	80
shivered	80
tragedy	80
sound	80
brushed	80
practised	80
cling	80
leapt	79
reported	79
marched	79
paced	79
darkened	79
assert	79
dragging	79
establish	79
compel	79
lingering	79
bounded	79
lighting	79
direct	79
forbidden	79
attained	79
expose	79
rush	79
perish	79
invented	79
sale	79
assuming	78
trusting	78
seeming	78
repair	78
runs	78
grasping	78
saving	78
shrieked	78
pledged	78
argued	78
deepened	78
strengthened	78
believes	78
manifested	77
deposited	77
pacing	77
slip	77
loving	77
discovering	77
regarding	77
inherited	77
'd	77
affecting	77
influenced	77
congratulate	77
appreciated	77
tremble	77
undertaken	77
blast	76
operation	76
mused	76
dismiss	76
twisted	76
flow	76
mentioning	76
hand	76
shine	76
picking	76
entreat	76
exert	76
contracted	76
having	75
nursed	75
waking	75
